"File","Line","Function","OutputFunction","Text","LikelyPrompt","ContainsCRLF","EndsWithNewline","Risk","Evidence"
"src\act.clan.c","40","send_to_clan","send_to_char","\r\n%s[Clan]%s %s%s%s: %s%s%s\r\n","False","True","True","READ_OR_UNKNOWN","    40:         send_to_char(d->character, ""\r\n%s[Clan]%s %s%s%s: %s%s%s\r\n"", G, R, G, GET_NAME(from), R, G, msg, R);
    41:       else
    42:         send_to_char(d->character, ""\r\n%s[Clan]%s %s%s%s\r\n"", G, R, G, msg, R);
    43:     }"
"src\act.clan.c","42","send_to_clan","send_to_char","\r\n%s[Clan]%s %s%s%s\r\n","False","True","True","READ_OR_UNKNOWN","    42:         send_to_char(d->character, ""\r\n%s[Clan]%s %s%s%s\r\n"", G, R, G, msg, R);
    43:     }
    44:   }
    45: }"
"src\act.clan.c","112","clan_help","send_to_char","Clan commands:\r\n  clan                 shows your clan status\r\n  clan list            shows existing clans\r\n  clan <message>       sends clan chat\r\nShortcuts:\r\n  ccreate <Name>       create clan (admins level 104 only)\r\n  cinvite <player>     invite/recruit an online player\r\n  cjoin <clan>         join a clan by name or id\r\n  cquit                leave clan\r\n  cpromote <player>    raise a member rank\r\n  cdemote <player>     lower a member rank\r\n","True","True","True","READ_OR_UNKNOWN","   112:   send_to_char(ch,
   113:     ""Clan commands:\r\n""
   114:     ""  clan                 shows your clan status\r\n""
   115:     ""  clan list            shows existing clans\r\n"""
"src\act.clan.c","227","clan_show_roster","send_to_char","You are not in a clan.\r\n","False","True","True","READ_OR_UNKNOWN","   227:     send_to_char(ch, ""You are not in a clan.\r\n"");
   228:     return;
   229:   }
   230: "
"src\act.clan.c","249","clan_show_roster","send_to_char","Roster: out of memory.\r\n","False","True","True","READ_OR_UNKNOWN","   249:       send_to_char(ch, ""Roster: out of memory.\r\n"");
   250:       return;
   251:     }
   252:   }"
"src\act.clan.c","271","clan_show_roster","send_to_char","\r\n%s╔══════════════════════════════════════════════════════════════════════╗%s\r\n%s║%s %s %s║%s\r\n%s║%s                              %sClan Roster%s                             %s║%s\r\n%s╠══════════════════════════════════════════════════════════════════════╣%s\r\n%s║%s %sName                     Race            Class            Level      %s%s║%s\r\n%s╠══════════════════════════════════════════════════════════════════════╣%s\r\n","True","True","True","READ_OR_UNKNOWN","   271:   send_to_char(ch,
   272:     ""\r\n""
   273:     ""%s╔══════════════════════════════════════════════════════════════════════╗%s\r\n""
   274:     ""%s║%s %s %s║%s\r\n"""
"src\act.clan.c","288","clan_show_roster","send_to_char","%s║%s No clan members are currently online.                                %s║%s\r\n","False","True","True","READ_OR_UNKNOWN","   288:     send_to_char(ch,
   289:       ""%s║%s No clan members are currently online.                                %s║%s\r\n""
   290:       , B, R, B, R
   291:     );"
"src\act.clan.c","302","clan_show_roster","send_to_char","%s║%s %s %s %s %5d       %s║%s\r\n","False","True","True","READ_OR_UNKNOWN","   302:       send_to_char(ch, ""%s║%s %s %s %s %5d       %s║%s\r\n"",
   303:         B, R,
   304:         name_buf,
   305:         race_buf,"
"src\act.clan.c","313","clan_show_roster","send_to_char","%s╚══════════════════════════════════════════════════════════════════════╝%s\r\n\r\n","False","True","True","READ_OR_UNKNOWN","   313:   send_to_char(ch,
   314:     ""%s╚══════════════════════════════════════════════════════════════════════╝%s\r\n""
   315:     ""\r\n""
   316:     , B, R"
"src\act.clan.c","356","clanedit_pvp_menu","write_to_output","\r\nClan PvP / PK Type\r\n0) No PvP / No PK\r\n1) Always PvP / PK always on\r\n2) Toggle PvP / PK (players opt in)\r\n\r\nEnter choice (0-2): ","True","True","False","READ_OR_UNKNOWN","   356:   write_to_output(d,
   357:     ""\r\n""
   358:     ""Clan PvP / PK Type\r\n""
   359:     ""0) No PvP / No PK\r\n"""
"src\act.clan.c","375","clanedit_menu","write_to_output","\r\nClan Editor\r\nClan: [%d] %s\r\nPlain: %s\r\nPvP/PK Type: %s\r\n\r\n1) Name\r\n2) Display Name\r\n3) Tag\r\n4) PvP / PK Type\r\nQ) Quit\r\n\r\nEnter choice: ","True","True","False","READ_OR_UNKNOWN","   375:   write_to_output(d,
   376:     ""\r\n""
   377:     ""Clan Editor\r\n""
   378:     ""Clan: [%d] %s\r\n"""
"src\act.clan.c","406","clanedit_parse","write_to_output","Clan name cannot be empty. Enter new clan name: ","True","False","False","READ_OR_UNKNOWN","   406:         write_to_output(d, ""Clan name cannot be empty. Enter new clan name: "");
   407:         return;
   408:       }
   409: "
"src\act.clan.c","411","clanedit_parse","write_to_output","Clan names may only use letters or numbers (no color codes). Try again: ","True","False","False","READ_OR_UNKNOWN","   411:         write_to_output(d, ""Clan names may only use letters or numbers (no color codes). Try again: "");
   412:         return;
   413:       }
   414: "
"src\act.clan.c","416","clanedit_parse","write_to_output","Clan names must be under %d characters. Try again: ","True","False","False","READ_OR_UNKNOWN","   416:         write_to_output(d, ""Clan names must be under %d characters. Try again: "", CLAN_NAME_LEN);
   417:         return;
   418:       }
   419: "
"src\act.clan.c","421","clanedit_parse","write_to_output","Unable to save the new clan name.\r\n","True","True","True","READ_OR_UNKNOWN","   421:         write_to_output(d, ""Unable to save the new clan name.\r\n"");
   422:         d->clanedit_mode = CLANEDIT_MAIN;
   423:         clanedit_menu(d);
   424:         return;"
