"File","Line","Function","Call","Evidence"
"src\act.comm.c","324","is_tell_ok","string_write(ch->desc, &paper->action_description, MAX_NOTE_LENGTH, 0, backstr);","   321:     /* We can write. */
   322:     act(""$n begins to jot down a note."", TRUE, ch, 0, 0, TO_ROOM);
   323:     send_editor_help(ch->desc);
   324:     string_write(ch->desc, &paper->action_description, MAX_NOTE_LENGTH, 0, backstr);
   325:   }
   326: }
   327: 
   328: ACMD(do_page)
   329: {"
"src\boards.c","210","board_write_message","string_write(ch->desc, &(msg_storage[NEW_MSG_INDEX(board_type).slot_num]), MAX_MESSAGE_LENGTH, board_type + BOARD_MAGIC, NULL);","   207:   send_editor_help(ch->desc);
   208:   act(""$n starts to write a message."", TRUE, ch, 0, 0, TO_ROOM);
   209: 
   210:   string_write(ch->desc, &(msg_storage[NEW_MSG_INDEX(board_type).slot_num]),
   211: 		MAX_MESSAGE_LENGTH, board_type + BOARD_MAGIC, NULL);
   212: 
   213:   num_of_msgs[board_type]++;
   214:   return (1);
   215: }"
"src\cedit.c","1218","cedit_parse","string_write(d, &OLC_CONFIG(d)->operation.MENU, MAX_INPUT_LENGTH, 0, oldtext);","  1215:              oldtext = strdup(OLC_CONFIG(d)->operation.MENU);
  1216:            }
  1217: 
  1218:            string_write(d, &OLC_CONFIG(d)->operation.MENU, MAX_INPUT_LENGTH, 0, oldtext);
  1219:            return;
  1220: 
  1221:          case 'm':
  1222:          case 'M':
  1223:            OLC_MODE(d) = CEDIT_WELC_MESSG;"
"src\cedit.c","1233","cedit_parse","string_write(d, &OLC_CONFIG(d)->operation.WELC_MESSG, MAX_INPUT_LENGTH, 0, oldtext);","  1230:              oldtext = str_udup(OLC_CONFIG(d)->operation.WELC_MESSG);
  1231:            }
  1232: 
  1233:            string_write(d, &OLC_CONFIG(d)->operation.WELC_MESSG, MAX_INPUT_LENGTH, 0, oldtext);
  1234:            return;
  1235: 
  1236:          case 'n':
  1237:          case 'N':
  1238:            OLC_MODE(d) = CEDIT_START_MESSG;"
"src\cedit.c","1248","cedit_parse","string_write(d, &OLC_CONFIG(d)->operation.START_MESSG, MAX_INPUT_LENGTH, 0, oldtext);","  1245:              oldtext = strdup(OLC_CONFIG(d)->operation.START_MESSG);
  1246:            }
  1247: 
  1248:            string_write(d, &OLC_CONFIG(d)->operation.START_MESSG, MAX_INPUT_LENGTH, 0, oldtext);
  1249:            return;
  1250: 
  1251:          case 'o':
  1252:          case 'O':
  1253:            TOGGLE_VAR(OLC_CONFIG(d)->operation.medit_advanced);"
"src\hedit.c","372","hedit_parse","string_write(d, &OLC_HELP(d)->entry, MAX_MESSAGE_LENGTH, 0, oldtext);","   369:         write_to_output(d, ""%s"", OLC_HELP(d)->entry);
   370:         oldtext = strdup(OLC_HELP(d)->entry);
   371:       }
   372:       string_write(d, &OLC_HELP(d)->entry, MAX_MESSAGE_LENGTH, 0, oldtext);
   373:       OLC_VAL(d) = 1;
   374:       break;
   375:     case '3':
   376:       write_to_output(d, ""Enter min level : "");
   377:       OLC_MODE(d) = HEDIT_MIN_LEVEL;"
"src\ibt.c","668","is_ibt_logger","string_write(ch->desc, &(ibtData->body),MAX_IBT_LENGTH, 0, NULL);","   665:     sprintf(buf, ""$n starts to give %s %s."", TANA(CMD_NAME), CMD_NAME);
   666:     act(buf, TRUE, ch, 0, 0, TO_ROOM);
   667: 
   668:     string_write(ch->desc, &(ibtData->body),MAX_IBT_LENGTH, 0, NULL);
   669: 
   670:     ibtData->room   = GET_ROOM_VNUM(IN_ROOM(ch));
   671:     ibtData->level  = GET_LEVEL(ch);
   672:     ibtData->text   = STRALLOC(arg_text);
   673:     ibtData->name   = STRALLOC(GET_NAME(ch));"
"src\ibt.c","1063","ibtedit_parse","string_write(d, &OLC_IBT(d)->body, MAX_IBT_LENGTH, 0, oldtext);","  1060:             if (oldtext) STRFREE(oldtext);
  1061:             oldtext = STRALLOC(OLC_IBT(d)->body);
  1062:           }
  1063:           string_write(d, &OLC_IBT(d)->body, MAX_IBT_LENGTH, 0, oldtext);
  1064:           OLC_ZNUM(d) = 1;
  1065:           return;
  1066: 
  1067:         case '6':
  1068:           OLC_MODE(d) = IBTEDIT_NOTES;"
"src\ibt.c","1076","ibtedit_parse","string_write(d, &OLC_IBT(d)->notes, MAX_IBT_LENGTH, 0, oldtext);","  1073:             if (oldtext) STRFREE(oldtext);
  1074:             oldtext = STRALLOC(OLC_IBT(d)->notes);
  1075:           }
  1076:           string_write(d, &OLC_IBT(d)->notes, MAX_IBT_LENGTH, 0, oldtext);
  1077:           OLC_ZNUM(d) = 1;
  1078:           return;
  1079: 
  1080:         default:
  1081:           ibtedit_disp_main_menu(d);"
"src\mail.c","312","store_mail","SET_BIT_AR(PLR_FLAGS(ch), PLR_MAILING); /* string_write() sets writing. */","   309: 
   310:   act(""$n tells you, 'Write your message. (/s saves /h for help).'"", FALSE, mailman, 0, ch, TO_VICT);
   311: 
   312:   SET_BIT_AR(PLR_FLAGS(ch), PLR_MAILING);	/* string_write() sets writing. */
   313: 
   314:   /* Start writing! */
   315:   CREATE(mailwrite, char *, 1);
   316:   string_write(ch->desc, mailwrite, MAX_MAIL_SIZE, recipient, NULL);
   317: }"
