"File","Line","Function","Case","TargetModes","Strings","Risk","RiskReasons","Evidence"
"src\act.clan.c","404","clanedit_parse","CLANEDIT_SET_NAME","","Clan name cannot be empty. Enter new clan name:","READ_OR_UNKNOWN","","    case CLANEDIT_SET_NAME:
      if (!*arg) {
        write_to_output(d, ""Clan name cannot be empty. Enter new clan name: "");
        return;"
"src\act.clan.c","432","clanedit_parse","CLANEDIT_SET_DISPLAY_NAME","","Display name cannot be empty. Enter new display name:","READ_OR_UNKNOWN","","    case CLANEDIT_SET_DISPLAY_NAME:
      if (!*arg) {
        write_to_output(d, ""Display name cannot be empty. Enter new display name: "");
        return;"
"src\act.clan.c","464","clanedit_parse","CLANEDIT_SET_TAG","","Tag edit is not persisted yet. Use file edits for now.","READ_OR_UNKNOWN","","    case CLANEDIT_SET_TAG:
      write_to_output(d, ""\r\nTag edit is not persisted yet. Use file edits for now.\r\n"");
      d->clanedit_mode = CLANEDIT_MAIN;
      clanedit_menu(d);
      return;"
"src\act.clan.c","472","clanedit_parse","CLANEDIT_SET_PVP_TYPE","","","READ_OR_UNKNOWN","","    case CLANEDIT_SET_PVP_TYPE:
      if (!*arg) {
        clanedit_pvp_menu(d);
        return;"
"src\act.clan.c","492","clanedit_parse","CLANEDIT_CONFIRM_QUIT","","Save changes before exiting? (Y/N):","READ_OR_UNKNOWN","","case CLANEDIT_CONFIRM_QUIT:
      if (!*arg) {
        write_to_output(d, ""Save changes before exiting? (Y/N): "");
        return;"
"src\act.clan.c","499","clanedit_parse","'y'","","Clans saved. Exiting clan editor. | Could not save clans, exiting anyway.","READ_OR_UNKNOWN","","        case 'y':
          if (clan_save_all())
            write_to_output(d, ""Clans saved. Exiting clan editor.\r\n"");
          else
            write_to_output(d, ""Could not save clans, exiting anyway.\r\n"");
          break;"
"src\act.clan.c","506","clanedit_parse","'n'","","Exiting clan editor without saving.","READ_OR_UNKNOWN","","        case 'n':
          write_to_output(d, ""Exiting clan editor without saving.\r\n"");
          break;"
"src\act.clan.c","510","clanedit_parse","default","","Please enter Y or N:","READ_OR_UNKNOWN","","        default:
          write_to_output(d, ""Please enter Y or N: "");
          return;"
"src\act.clan.c","520","clanedit_parse","default","","","READ_OR_UNKNOWN","","    default:
      break;"
"src\act.clan.c","530","clanedit_parse","'1'","","Enter new clan name:","READ_OR_UNKNOWN","","    case '1':
      d->clanedit_mode = CLANEDIT_SET_NAME;
      write_to_output(d, ""Enter new clan name: "");
      return;"
"src\act.clan.c","534","clanedit_parse","'2'","","Enter new clan display name (colors allowed):","READ_OR_UNKNOWN","","    case '2':
      d->clanedit_mode = CLANEDIT_SET_DISPLAY_NAME;
      write_to_output(d, ""Enter new clan display name (colors allowed): "");
      return;"
"src\act.clan.c","538","clanedit_parse","'3'","","Enter new clan tag (shown in who):","READ_OR_UNKNOWN","","    case '3':
      d->clanedit_mode = CLANEDIT_SET_TAG;
      write_to_output(d, ""Enter new clan tag (shown in who): "");
      return;"
"src\act.clan.c","542","clanedit_parse","'4'","","","READ_OR_UNKNOWN","","    case '4':
      d->clanedit_mode = CLANEDIT_SET_PVP_TYPE;
      clanedit_pvp_menu(d);
      return;"
"src\act.clan.c","546","clanedit_parse","'q'","","Save changes before exiting? (Y/N):","READ_OR_UNKNOWN","","case 'q':
      d->clanedit_mode = CLANEDIT_CONFIRM_QUIT;
      write_to_output(d, ""Save changes before exiting? (Y/N): "");
      return;"
"src\act.clan.c","550","clanedit_parse","default","","Invalid choice.","READ_OR_UNKNOWN","","    default:
      write_to_output(d, ""Invalid choice.\r\n"");
      clanedit_menu(d);
      return;"
"src\act.comm.c","205","is_tell_ok","SCMD_WHISPER","","whisper to | whispers to | $n whispers something to $N.","READ_OR_UNKNOWN","","  case SCMD_WHISPER:
    action_sing = ""whisper to"";
    action_plur = ""whispers to"";
    action_others = ""$n whispers something to $N."";
    break;"
"src\act.comm.c","211","is_tell_ok","SCMD_ASK","","ask | asks | $n asks $N a question.","READ_OR_UNKNOWN","","  case SCMD_ASK:
    action_sing = ""ask"";
    action_plur = ""asks"";
    action_others = ""$n asks $N a question."";
    break;"
"src\act.comm.c","217","is_tell_ok","default","","oops | oopses | $n is tongue-tied trying to speak with $N.","READ_OR_UNKNOWN","","  default:
    action_sing = ""oops"";
    action_plur = ""oopses"";
    action_others = ""$n is tongue-tied trying to speak with $N."";
    break;"
